#separator:tab
#html:true
"<div class=afirmação>No coração a via&nbsp;<span class=""cloze"" data-cloze=""mais&#x20;r&#xE1;pida"" data-ordinal=""1"">[...]</span> comanda <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No coração a via&nbsp;<span class=""cloze"" data-ordinal=""1"">mais rápida</span> comanda </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Extrassístole - Qual tipo é maligna?&nbsp;<span class=""cloze"" data-cloze=""Geralmente&#x20;tanto&#x20;atrial&#x20;quanto&#x20;ventricular&#x20;s&#xE3;o&#x20;benignas"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Extrassístole - Qual tipo é maligna?&nbsp;<span class=""cloze"" data-ordinal=""1"">Geralmente tanto atrial quanto ventricular são benignas</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Extrassístole Ventriculares -&nbsp;<span class=""cloze"" data-cloze=""N&#xE3;o&#x20;precedidas"" data-ordinal=""1"">[...]</span> por onda P <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Extrassístole Ventriculares -&nbsp;<span class=""cloze"" data-ordinal=""1"">Não precedidas</span> por onda P </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint086f3c23a7c75e2e').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint086f3c23a7c75e2e"" class=hint style=""display: none""><div>+ QRS alargado.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Extrassístole Atrial -&nbsp;<span class=""cloze"" data-cloze=""Precedidas"" data-ordinal=""1"">[...]</span> por onda P <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Extrassístole Atrial -&nbsp;<span class=""cloze"" data-ordinal=""1"">Precedidas</span> por onda P </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Bigenimismo Ventricular =&nbsp;<span class=""cloze"" data-cloze=""1&#x20;sinusal&#x20;&#x2D;&#x20;1&#x20;extrassistole&#x20;&#x2D;&#x20;1&#x20;sinusal"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Bigenimismo Ventricular =&nbsp;<span class=""cloze"" data-ordinal=""1"">1 sinusal - 1 extrassistole - 1 sinusal</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Trigenimismo Ventricular =&nbsp;<span class=""cloze"" data-cloze=""2&#x20;sinusal&#x20;&#x2D;&#x20;1&#x20;extrassistole&#x20;&#x2D;&#x20;2&#x20;sinusal"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Trigenimismo Ventricular =&nbsp;<span class=""cloze"" data-ordinal=""1"">2 sinusal - 1 extrassistole - 2 sinusal</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Extrassístole Ventricular Pareada =&nbsp;<span class=""cloze"" data-cloze=""Duas&#x20;extrass&#xED;stoles&#x20;ventriculares&#x20;juntas&#x20;&#x28;em&#x20;pares&#x29;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Extrassístole Ventricular Pareada =&nbsp;<span class=""cloze"" data-ordinal=""1"">Duas extrassístoles ventriculares juntas (em pares)</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Taquicardia&#x20;Ventricular"" data-ordinal=""1"">[...]</span> = Três ou mais extrassístoles ventriculares juntas <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""1"">Taquicardia Ventricular</span> = Três ou mais extrassístoles ventriculares juntas </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Ventricular - Sustentada quando<div><br /></div><div><span class=""cloze"" data-cloze=""&amp;gt&#x3B;30s&#x20;&lt;u&gt;ou&lt;&#x2F;u&gt;&amp;nbsp&#x3B;Inst&#xE1;vel"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Ventricular - Sustentada quando<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">&gt;30s <u>ou</u>&nbsp;Instável</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Trata extrassistoles ventriculares?&nbsp;<span class=""cloze"" data-cloze=""Quando&#x20;sintom&#xE1;ticas"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Trata extrassistoles ventriculares?&nbsp;<span class=""cloze"" data-ordinal=""1"">Quando sintomáticas</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Uma taquicardia é instável quando (5)<div><br></div><div><span class=""cloze"" data-cloze=""Congest&#xE3;o&lt;br&gt;EAP&lt;br&gt;Angina&lt;br&gt;Hipotens&#xE3;o&lt;br&gt;S&#xED;ncope"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Uma taquicardia é instável quando (5)<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Congestão<br>EAP<br>Angina<br>Hipotensão<br>Síncope</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia Ventricular</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-cloze=""Taquicardia&lt;br&gt;RR&#x20;regular&lt;br&gt;Sem&#x20;Onda&#x20;P&#x20;&#x28;escondida&#x29;&lt;br&gt;QRS&#x20;alargado"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia Ventricular</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Taquicardia<br>RR regular<br>Sem Onda P (escondida)<br>QRS alargado</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Taquicardia&#x20;Ventricular"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Taquicardia<br>RR regular<br>Sem Onda P (escondida)<br>QRS alargado</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Taquicardia Ventricular</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Taquicardia<br>RR regular<br>Sem Onda P (escondida)<br>QRS alargado</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Ventricular - Monomórfica ou Polimórfica?<div><br></div><div><span class=""cloze"" data-cloze=""Morfologia&#x20;&#xFA;nica&#x20;do&#x20;QRS&#x20;&#x3D;&#x20;Monom&#xF3;rfica&lt;&#x2F;div&gt;&lt;div&gt;Mais&#x20;de&#x20;uma&#x20;morfologia&#x20;no&#x20;QRS&#x20;&#x3D;&#x20;Polim&#xF3;rfica"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Ventricular - Monomórfica ou Polimórfica?<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Morfologia única do QRS = Monomórfica</div><div>Mais de uma morfologia no QRS = Polimórfica</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Torsades des Pointes é um subtipo de&nbsp;<span class=""cloze"" data-cloze=""Taquicardia&#x20;Ventricular&#x20;Polim&#xF3;rfica"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Torsades des Pointes é um subtipo de&nbsp;<span class=""cloze"" data-ordinal=""1"">Taquicardia Ventricular Polimórfica</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Torsades des Pointes</span> - Predisposição no ECG: <span class=""cloze"" data-cloze=""QT&#x20;Longo&#x20;&#x28;&amp;gt&#x3B;440ms&#x29;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Torsades des Pointes</span> - Predisposição no ECG: <span class=""cloze"" data-ordinal=""1"">QT Longo (&gt;440ms)</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Torsades&#x20;des&#x20;Pointes"" data-ordinal=""2"">[...]</span> - Predisposição no ECG: <span class=""cloze-inactive"" data-ordinal=""1"">QT Longo (&gt;440ms)</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Torsades des Pointes</span> - Predisposição no ECG: <span class=""cloze-inactive"" data-ordinal=""1"">QT Longo (&gt;440ms)</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Medicamentos que&nbsp;<span class=""cloze"" data-cloze=""aumentam&#x20;o&#x20;intervalo&#x20;QT"" data-ordinal=""1"">[...]</span> predispõe a morte subita por&nbsp;Torsades des Pointes <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Medicamentos que&nbsp;<span class=""cloze"" data-ordinal=""1"">aumentam o intervalo QT</span> predispõe a morte subita por&nbsp;Torsades des Pointes </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Torsades des Pointes - Tratamento<div><br></div><div><span class=""cloze"" data-cloze=""Sulfato&#x20;de&#x20;Magn&#xE9;sio"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Torsades des Pointes - Tratamento<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Sulfato de Magnésio</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Circuito de reentrada cede com&nbsp;<span class=""cloze"" data-cloze=""Choque"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Circuito de reentrada cede com&nbsp;<span class=""cloze"" data-ordinal=""1"">Choque</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Fibrilação Ventricular</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-cloze=""Sem&#x20;QRS&lt;br&gt;An&#xE1;rquico"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Fibrilação Ventricular</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Sem QRS<br>Anárquico</span></div> </div>



</div>

</div><br>

<div class=direito>"
