"<div class=afirmação>Fibrilação Ventricular - Características de QRS caótico no ECG <br></div>"	"<div class=afirmação>Fibrilação Ventricular apresenta um traçado caótico sem QRS definidos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId151').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId151\" class=hint style=\"display: none\"><div>O ECG de fibrilação ventricular mostra um padrão irregular e caótico, necessitando intervenção imediata.</div></div></div>"
"<div class=afirmação>ECG em Tamponamento Cardíaco - Baixa voltagem <br></div>"	"<div class=afirmação>Tamponamento Cardíaco se manifesta com baixa amplitude dos sinais no ECG</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId162').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId162\" class=hint style=\"display: none\"><div>A presença de derrame pericárdico pode reduzir significativamente as voltagens registradas.</div></div></div>"
"<div class=afirmação>ECG em Hipotensão - Alterações rítmicas <br></div>"	"<div class=afirmação>Hipotensão pode causar ritmos lentos e irregularidades no ECG</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId163').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId163\" class=hint style=\"display: none\"><div>A baixa pressão arterial afeta a condução elétrica, podendo resultar em arritmias.</div></div></div>"
"<div class=afirmação>ECG em Shock - Alterações graves <br></div>"	"<div class=afirmação>Em shock, o ECG apresenta baixa voltagem e instabilidade do ritmo</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId164').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId164\" class=hint style=\"display: none\"><div>O choque compromete a perfusão e se reflete em um traçado eletrocardiográfico gravemente alterado.</div></div></div>"
"<div class=afirmação>ECG em Síndrome Coronariana Aguda - Padrões <br></div>"	"<div class=afirmação>Síndrome Coronariana Aguda pode apresentar elevação ou depressão do ST com alterações na onda T</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId165').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId165\" class=hint style=\"display: none\"><div>A evolução dos achados eletrocardiográficos é fundamental para o diagnóstico e manejo do IAM.</div></div></div>"
"<div class=afirmação>ECG em Distúrbios de Condução - Fuso de atividade <br></div>"	"<div class=afirmação>Distúrbios de condução podem apresentar atividade em fuso nos complexos QRS</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId166').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId166\" class=hint style=\"display: none\"><div>Esse achado sugere anormalidades na condução intraventricular.</div></div></div>"
"<div class=afirmação>ECG em Distúrbios de Condução - Ritmo irregular <br></div>"	"<div class=afirmação>Ritmo irregular pode ser decorrente de circuitos de reentrada ou bloqueios parciais</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId167').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId167\" class=hint style=\"display: none\"><div>A irregularidade do ritmo deve ser interpretada em conjunto com o quadro clínico.</div></div></div>"
"<div class=afirmação>ECG em Pacientes Pós-Infarto - Cicatrização <br></div>"	"<div class=afirmação>Pós-infarto, o ECG pode apresentar ondas Q patológicas e alterações do ST</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId168').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId168\" class=hint style=\"display: none\"><div>Esses achados indicam cicatrização e extensão do dano miocárdico.</div></div></div>"
"<div class=afirmação>ECG em Pacientes Pós-Infarto - Risco de arritmia <br></div>"	"<div class=afirmação>Pós-infarto, alterações no ECG podem predispor a arritmias ventriculares</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId169').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId169\" class=hint style=\"display: none\"><div>A presença de cicatrizes pode criar um substrato para arritmias perigosas.</div></div></div>"
"<div class=afirmação>ECG em Doença Valvar - Sinais de sobrecarga <br></div>"	"<div class=afirmação>Doença valvar pode resultar em aumento da amplitude do QRS e desvio do eixo</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId170').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId170\" class=hint style=\"display: none\"><div>Esses achados refletem sobrecarga crônica do ventrículo devido a estenose ou insuficiência.</div></div></div>"
"<div class=afirmação>ECG em Endocardite - Alterações inespecíficas <br></div>"	"<div class=afirmação>Endocardite pode apresentar alterações leves no ST e T sem padrão definido</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId171').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId171\" class=hint style=\"display: none\"><div>Os achados são inespecíficos e devem ser avaliados no contexto clínico.</div></div></div>"
"<div class=afirmação>ECG em Miocardite Crônica - Padrão atípico <br></div>"	"<div class=afirmação>Miocardite Crônica pode apresentar alterações difusas e atípicas no ECG</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId172').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId172\" class=hint style=\"display: none\"><div>As alterações podem variar, tornando o diagnóstico um desafio.</div></div></div>"
"<div class=afirmação>ECG na Cardiomiopatia Hipertrófica - Sinais clássicos <br></div>"	"<div class=afirmação>Cardiomiopatia Hipertrófica apresenta QRS intensos, desvio do eixo e anormalidades na onda T</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId173').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId173\" class=hint style=\"display: none\"><div>Esses achados refletem o aumento da massa ventricular e são essenciais para o diagnóstico.</div></div></div>"
"<div class=afirmação>ECG na Cardiomiopatia Dilatada - Sinais de baixa voltagem <br></div>"	"<div class=afirmação>Cardiomiopatia Dilatada é caracterizada por baixa amplitude dos QRS</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId174').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId174\" class=hint style=\"display: none\"><div>Essa baixa voltagem reflete a redução da função contrátil do ventrículo dilatado.</div></div></div>"
"<div class=afirmação>ECG na Miocardiopatia Restritiva - Sinais difusos <br></div>"	"<div class=afirmação>Miocardiopatia Restritiva apresenta baixa voltagem e dispersão dos intervalos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId175').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId175\" class=hint style=\"display: none\"><div>Esses achados refletem o comprometimento do preenchimento ventricular.</div></div></div>"
"<div class=afirmação>ECG em Doença Pulmonar - Efeito sobre o eixo <br></div>"	"<div class=afirmação>Doença pulmonar pode causar desvio do eixo para a direita</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId176').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId176\" class=hint style=\"display: none\"><div>A hipertensão pulmonar altera o vetor elétrico do coração, resultando em desvio do eixo.</div></div></div>"
"<div class=afirmação>ECG em Embolia Pulmonar - Alterações isoladas <br></div>"	"<div class=afirmação>Em embolia pulmonar, o ECG pode mostrar tachicardia sinusal e, ocasionalmente, padrão S1Q3T3</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId177').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId177\" class=hint style=\"display: none\"><div>Embora não seja específico, esse padrão pode apoiar o diagnóstico em contexto clínico apropriado.</div></div></div>"
"<div class=afirmação>ECG em Arritmia Induzida por Drogas - Prolongamento do QT <br></div>"	"<div class=afirmação>Arritmias induzidas por drogas podem causar prolongamento do QT, aumentando o risco de Torsades des Pointes</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId178').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId178\" class=hint style=\"display: none\"><div>O monitoramento do QT é essencial durante o uso de medicamentos que podem prolongá-lo.</div></div></div>"
"<div class=afirmação>ECG em Sobrecarga Volêmica - Alterações no QRS <br></div>"	"<div class=afirmação>Sobrecarga Volêmica pode causar aumento do QRS e alterações na condução</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId179').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId179\" class=hint style=\"display: none\"><div>Essas alterações refletem o volume excessivo que altera a atividade elétrica do coração.</div></div></div>"
"<div class=afirmação>ECG em Sobrecarga de Pressão - Desvio do eixo <br></div>"	"<div class=afirmação>Sobrecarga de Pressão pode resultar em desvio do eixo do ECG</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId180').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId180\" class=hint style=\"display: none\"><div>O aumento da pressão altera o vetor elétrico, resultando em desvio do eixo.</div></div></div>"
"<div class=afirmação>ECG em Atrofia Cardíaca - Baixa amplitude <br></div>"	"<div class=afirmação>Atrofia Cardíaca se manifesta com baixa amplitude dos QRS</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId181').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId181\" class=hint style=\"display: none\"><div>A baixa amplitude reflete a diminuição da massa muscular do coração.</div></div></div>"
"<div class=afirmação>ECG em Hipercalemia - Ondas T picadas <br></div>"	"<div class=afirmação>Hipercalemia é evidenciada por ondas T pontiagudas</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId182').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId182\" class=hint style=\"display: none\"><div>Ondas T pontiagudas são um sinal clássico de níveis elevados de potássio.</div></div></div>"
"<div class=afirmação>ECG em Hipocalemia - Prolongamento do QT <br></div>"	"<div class=afirmação>Hipocalemia pode resultar em prolongamento do intervalo QT</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId183').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId183\" class=hint style=\"display: none\"><div>O prolongamento do QT em hipocalemia aumenta o risco de arritmias graves.</div></div></div>"
"<div class=afirmação>ECG em Distúrbio do Potássio - Alteração na condução <br></div>"	"<div class=afirmação>Distúrbios de potássio podem alterar a condução elétrica e a morfologia do ECG</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId184').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId184\" class=hint style=\"display: none\"><div>A alteração na condução reflete o impacto dos níveis de potássio no sistema elétrico.</div></div></div>"
"<div class=afirmação>ECG em Eletrolitos Desbalanceados - Padrão não específico <br></div>"	"<div class=afirmação>Eletrolitos desbalanceados podem causar alterações variadas no ECG</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId185').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId185\" class=hint style=\"display: none\"><div>As alterações podem ser inespecíficas e devem ser interpretadas juntamente com exames laboratoriais.</div></div></div>"
"<div class=afirmação>ECG na Síndrome do QT Curto - Risco de arritmia <br></div>"	"<div class=afirmação>Síndrome do QT Curto pode predispor a arritmias perigosas</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId186').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId186\" class=hint style=\"display: none\"><div>Embora rara, essa síndrome pode levar a arritmias fatais devido à rápida repolarização.</div></div></div>"
"<div class=afirmação>ECG na Síndrome do QT Prolongado - Atenção redobrada <br></div>"	"<div class=afirmação>Síndrome do QT Prolongado aumenta o risco de Torsades des Pointes</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId187').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId187\" class=hint style=\"display: none\"><div>O prolongamento do QT deve ser monitorado e as medicações revistas para prevenir arritmias graves.</div></div></div>"
"<div class=afirmação>ECG em Taquicardia Atrial - Anomalia na condução <br></div>"	"<div class=afirmação>Taquicardia Atrial pode apresentar ondas P anormais sugerindo origem ectópica</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId188').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId188\" class=hint style=\"display: none\"><div>Alterações na morfologia da onda P ajudam a identificar focos ectópicos.</div></div></div>"
"<div class=afirmação>ECG em Taquicardia Atrial - Morfologia variável <br></div>"	"<div class=afirmação>Variação na morfologia da onda P pode indicar múltiplos focos arrítmicos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId189').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId189\" class=hint style=\"display: none\"><div>Esse padrão sugere taquicardia atrial multifocal, o que pode complicar o manejo.</div></div></div>"
"<div class=afirmação>ECG em Bloqueio de Ramo Esquerdo - Padrão clássico <br></div>"	"<div class=afirmação>Bloqueio de Ramo Esquerdo se caracteriza por QRS alargado e padrão característico em V5-V6</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId190').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId190\" class=hint style=\"display: none\"><div>Esse é o padrão típico do bloqueio de ramo esquerdo, com desvio do eixo para a esquerda.</div></div></div>"
"<div class=afirmação>ECG em Bloqueio de Ramo Direito - Padrão clássico <br></div>"	"<div class=afirmação>Bloqueio de Ramo Direito é evidenciado por QRS com rSR' em V1 e S profunda em V6</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId191').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId191\" class=hint style=\"display: none\"><div>Esses achados são característicos do bloqueio de ramo direito.</div></div></div>"
"<div class=afirmação>ECG em Bloqueio de Ramo Indeterminado - Análise detalhada <br></div>"	"<div class=afirmação>Quando o padrão do bloqueio de ramo não é claramente EDR ou EDE, uma análise detalhada é necessária</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId192').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId192\" class=hint style=\"display: none\"><div>A avaliação especializada pode ajudar a identificar a natureza do bloqueio.</div></div></div>"
"<div class=afirmação>ECG em Paciente com Marcapasso - Ritmo artificial <br></div>"	"<div class=afirmação>Presença de paces e complexos largos indicam ritmo artificial</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId193').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId193\" class=hint style=\"display: none\"><div>O ECG de pacientes com marcapasso apresenta marcas típicas de estimulação elétrica.</div></div></div>"
"<div class=afirmação>ECG em Rítmo Sinusal - Parâmetros normais <br></div>"	"<div class=afirmação>Um ECG normal em ritmo sinusal mostra onda P, QRS estreito e intervalo PR adequado</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId194').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId194\" class=hint style=\"display: none\"><div>Esses são os critérios de um ECG normal em ritmo sinusal.</div></div></div>"
"<div class=afirmação>ECG em Rítmo Sinusal - Variação da frequência <br></div>"	"<div class=afirmação>Ritmo sinusal pode apresentar variações de frequência conforme estímulos fisiológicos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId195').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId195\" class=hint style=\"display: none\"><div>Variações na frequência são normais e refletem a atividade autonômica.</div></div></div>"
"<div class=afirmação>ECG em Ritmo de Fuga - Anormalidades <br></div>"	"<div class=afirmação>Ritmo de fuga aparece em bloqueios AV completos, com QRS lentos e irregulares</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId196').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId196\" class=hint style=\"display: none\"><div>Este ritmo é um mecanismo de escape e indica bloqueio AV completo.</div></div></div>"
"<div class=afirmação>ECG na Hipertermia - Alterações transitórias <br></div>"	"<div class=afirmação>Hipertermia pode causar alterações transitórias no ECG, como aumento da frequência</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId197').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId197\" class=hint style=\"display: none\"><div>Essas alterações são geralmente reversíveis com a normalização da temperatura.</div></div></div>"
"<div class=afirmação>ECG em Uso de Drogas Estimulantes - Taquicardia <br></div>"	"<div class=afirmação>O uso de drogas estimulantes pode provocar taquicardia e encurtamento dos intervalos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId198').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId198\" class=hint style=\"display: none\"><div>Drogas como anfetaminas aumentam significativamente a frequência cardíaca.</div></div></div>"
"<div class=afirmação>ECG em Uso de Drogas Depressoras - Bradicardia <br></div>"	"<div class=afirmação>O uso de drogas depressoras pode levar à bradicardia e prolongamento dos intervalos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId199').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId199\" class=hint style=\"display: none\"><div>Drogas sedativas podem reduzir a atividade elétrica, diminuindo a frequência.</div></div></div>"
"<div class=afirmação>ECG em Insuficiência Cardíaca - Alterações de repolarização <br></div>"	"<div class=afirmação>Insuficiência Cardíaca pode alterar os segmentos ST e as ondas T</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId200').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId200\" class=hint style=\"display: none\"><div>Essas alterações refletem a dificuldade do coração em repolarizar adequadamente.</div></div></div>"
"<div class=afirmação>ECG em Hipoperfusão - Sinais de baixa amplitude <br></div>"	"<div class=afirmação>Hipoperfusão pode resultar em baixa amplitude dos sinais eletrocardiográficos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId201').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId201\" class=hint style=\"display: none\"><div>A redução na voltagem reflete a diminuição da perfusão tecidual.</div></div></div>"
"<div class=afirmação>ECG em Estenose Aórtica - Sinais de hipertrofia <br></div>"	"<div class=afirmação>Estenose Aórtica pode levar à hipertrofia ventricular, evidenciada por QRS aumentados e desvio do eixo</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId202').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId202\" class=hint style=\"display: none\"><div>O aumento da carga de trabalho causa hipertrofia e alterações no ECG.</div></div></div>"
"<div class=afirmação>ECG em Insuficiência Mitral - Alterações no QRS <br></div>"	"<div class=afirmação>Insuficiência Mitral pode causar alterações na morfologia do QRS</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId203').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId203\" class=hint style=\"display: none\"><div>Essas alterações podem refletir alterações estruturais decorrentes da insuficiência mitral.</div></div></div>"
"<div class=afirmação>ECG em Cardiomiopatia Arritmogênica do Ventrículo Direito - Sinais específicos <br></div>"	"<div class=afirmação>Esta cardiomiopatia apresenta T inversas em V1-V3 e anormalidades no QRS</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId204').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId204\" class=hint style=\"display: none\"><div>Esses achados sugerem fibrofatiga no ventrículo direito, característica da condição.</div></div></div>"
"<div class=afirmação>ECG - Revisão Geral dos Achados <br></div>"	"<div class=afirmação>Integração de todos os achados do ECG para um diagnóstico completo</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId205').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId205\" class=hint style=\"display: none\"><div>A revisão geral permite correlacionar os diversos padrões do ECG e orientar a conduta terapêutica.</div></div></div>"
"<div class=afirmação>Abordagem Integrada - A interpretação conjunta do ECG é fundamental para orientar o tratamento clínico <br></div>"	"<div class=afirmação>Abordagem Integrada - A interpretação conjunta do ECG é fundamental para orientar o tratamento clínico</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId206').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId206\" class=hint style=\"display: none\"><div>O ECG fornece informações valiosas sobre a função elétrica do coração, essenciais para decisões terapêuticas.</div></div></div>"
"<div class=afirmação>Abordagem Integrada - O ECG deve ser interpretado em conjunto com a avaliação clínica completa <br></div>"	"<div class=afirmação>Abordagem Integrada - O ECG deve ser interpretado em conjunto com a avaliação clínica completa</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId207').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId207\" class=hint style=\"display: none\"><div>Os achados do ECG devem ser correlacionados com o quadro clínico para um diagnóstico preciso.</div></div></div>"
"<div class=afirmação>Extrassístole Atrial - Geralmente benigna em ausência de doença estrutural <br></div>"	"<div class=afirmação>Extrassístole Atrial - Geralmente benigna se não houver doença estrutural</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId208').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId208\" class=hint style=\"display: none\"><div>Extrassístoles atriais isoladas costumam ser consideradas normais, sem risco se não associadas a outras anormalidades.</div></div></div>"
"<div class=afirmação>Extrassístole Ventricular - Pode indicar irritabilidade do miocárdio <br></div>"	"<div class=afirmação>Extrassístole Ventricular - Pode indicar irritabilidade do miocárdio</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId209').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId209\" class=hint style=\"display: none\"><div>Extrassístoles frequentes podem sinalizar predisposição para arritmias ventriculares graves.</div></div></div>"
